"【药品名称】
通用名称：艾迪注射液
汉语拼音：Aidi zhusheye",【成份】斑蝥、人参、黄芪、刺五加。,【性状】本品为浅棕色的澄明液体。,【功能主治】清热解毒，消瘀散结。用于原发性肝癌，肺癌，直肠癌，恶性淋巴瘤，妇科恶性肿瘤等。
"【药品名称】
通用名称：虫草川贝膏
汉语拼音：chong cao chuan bei gao","【成份】
发酵虫草菌粉（Cs-4）、川贝母、枇杷叶、蜂蜜。",【性状】本品为棕红色至暗棕色的半流体；气香、口感好、有清凉感。,【功能主治】补肺益肾，清肺止咳。用于阴虚久咳及痰热咳嗽。
"【药品名称】
通用名称：虫草菌粉参芍酒
汉语拼音：Chongcao Junfen Shenshao Jiu",【成份】人工虫草菌丝粉、党参、黄芪、人工灵芝菌丝粉、丹参、白芍、甘草,【性状】本品为棕黄色至棕红色的液体；味甜、微苦、辛。,【功能主治】补肾养肺，益气健脾。适用于肺脾肾气虚引起的气短乏力，倦怠多汗，纳呆食少，腰膝酸软，神疲懒言；也可用于老年体虚，久病体弱的患者。
"【药品名称】
通用名称：虫草清肺胶囊
汉语拼音：Chongcao Qingfei Jiaonang",【成份】沙棘膏、冬虫夏草、南五味子、百部、白及、百合、枇杷叶、甘草、牡蛎、蛤蚧,,【功能主治】润肺补气，清肺化痰，止咳平喘。用于气阴两虚，痰热阻肺所致的咳嗽痰多，气喘胸闷；慢性支气管炎见上述证候者。
"【药品名称】
通用名称：虫草五味颗粒
汉语拼音：Chongcao Wuwei Keli",【成份】冬虫夏草、人参、党参、黄芪、枸杞子。,【性状】本品为黄褐色颗粒；味微酸，甘。,【功能主治】益肾健脾。适用于脾肾两虚所致的头晕目眩，神疲乏力，胸闷气短，食欲不振，自汗盗汗，夜尿频多，腰膝酸痛。
"【药品名称】
通用名称：出血热预防片
汉语拼音：Chuxuere Yufang Pian",【成份】地黄、女贞子、白茅根、玄参、丹参、丹皮、板蓝根、,【性状】本品为糖衣片，除去糖衣后，显棕褐色；气微，味微酸、苦。,【功能主治】　凉血化瘀，清热解毒。用于预防流行性出血热。
"【药品名称】
通用名称：除湿白带丸
汉语拼音：Chushi Baidai Wan","【成份】
党参、炒白术、山药、白芍、芡实、车前子（炒）、当归、苍术、陈皮、白果仁、荆芥炭、柴胡、黄柏炭、茜草、海螵蛸、煅牡蛎。辅料为：无。",【性状】本品为灰褐色的水丸；气微，味淡。,【功能主治】除湿健脾。用于脾虚，湿盛白带。
"【药品名称】
通用名称：除痰止嗽丸
汉语拼音：Chutan Zhisou Wan",【成份】枳实、白术（麸炒)、陈皮、法半夏、桔梗、浮海石（煅）、前胡、六神曲（麸炒）、防风、黄芩、栀子（姜炙）、黄柏、熟大黄、知母、天花粉、甘草、冰片、薄荷脑。,【性状】本品为棕褐色大蜜丸；气清凉，味甜、微苦,【功能主治】清肺降火，除痰止嗽。用于肺热痰盛引起的咳嗽气逆，痰黄粘稠，咽喉疼痛，大便干燥。
"【药品名称】
通用名称：除脂生发片
汉语拼音：Chuzhi Shengfa Pian",【成份】当归、牡丹皮、川芎、白鲜皮、蝉蜕、地黄、苦参、地肤子、防风、何首乌、荆芥、僵蚕、蜈蚣、,【性状】本品为糖衣片，除去糖衣后显棕色至褐色；气微，味苦。,【功能主治】　滋阴，养血，祛风，活络，止痒，除油脂。用于脂溢性脱发，头皮瘙痒，落屑，油脂分泌过多症。
"【药品名称】
通用名称：川百止痒洗剂
汉语拼音：chuan bai zhi yang xi ji",【成份】苦参、西河柳、蛇床子、马齿苋、荆芥、白鲜皮、百部、蜂房、桃枝、柳枝、槐枝、川芎、蒺藜、地肤子、白芷、艾叶。,【性状】疏风止痒，燥湿解毒。适用于风邪外来，湿毒内蕴，腠理失和所致的皮肤、阴部瘙痒症。,【功能主治】疏风止痒，燥湿解毒。适用于风邪外来，湿毒内蕴，腠理失和所致的皮肤、阴部瘙痒症。
"【药品名称】
通用名称：川贝梨糖浆
汉语拼音：Chuanbeili Tangjiang",【成份】川贝母、南沙参、雪梨。,【性状】 本品为棕红色的粘稠液体；气微，味甜。,【功能主治】养阴润肺。用于肺热燥咳，阴虚久咳。
"【药品名称】
通用名称：沉香理气丸
汉语拼音：Chenxiang Liqi Wan",【成份】沉香、枳实(麸炒)、半夏(制)、砂仁、大黄、陈皮、木香、厚朴(制)、槟榔、白术(麸炒)、黄芩、广藿香等13味。,【性状】本品为灰黄色水丸；气芳香，味苦。,【功能主治】化滞利气。用于脾胃失和，气郁不舒，食滞腹胀，嗳气吞酸。
"【药品名称】
通用名称：沉香利气丸（沉香四宝丸）
汉语拼音：Chenxiang Liqi Wan",【成份】木香、30g、丁香、30g、沉香、60g、香附（醋炙）、120g、枳壳（麸炒）120g、青皮（醋炙）、240g、陈皮、120g、厚朴（姜炙）、60g、佛手、60g、广藿香30g、豆蔻仁、45g、砂仁、45g、柴胡、30g、白芍120g、川芎、30g、延胡索（醋炙）60g、片姜黄、30g、郁金、60g、山楂（炒）、180g、甘草、30g、牵牛子（炒焦）15g、冰片、60g、,【性状】本品为黄褐色的大蜜丸；气 香，味甜、微苦。,【功能主治】行气舒郁，健胃导滞。用于气郁不舒，消化不良引起的胸胁痞满，嗳气吞酸，胃脘胀痛，大便秘结。
"【药品名称】
通用名称：沉香散
汉语拼音：Chenxiang San",【成份】沉香、砂仁、苍术、枳实、麦芽(炒焦)、青皮、紫苏叶、细辛、川芎、桔梗、茯苓、甘草、栀子、厚朴、香附、木香、山楂、陈皮、藿香、荆芥、白芷、防风、薄荷、半夏、白芍、葛根、,【性状】本品为棕黄色的粗粉；具沉香的特异香气，味微苦。,【功能主治】　疏表化滞。用于风寒外侵，气滞不运，脘腹痞胀。
"【药品名称】
通用名称：沉香舒郁片
汉语拼音：Chenxiang Shuyu Pian",【成份】沉香、木香、厚朴、砂仁、豆蔻、枳壳、柴胡、延胡索、香附、姜黄等13味。,【性状】本品为褐色片；气香，味微辛。,【功能主治】舒气开胃，化郁止痛。用于胸腹胀满，胃部疼痛，呕吐酸水，消化不良，食欲不振，郁闷不舒。
"【药品名称】
通用名称：陈夏六君子丸
汉语拼音：Chenxia Liujunzi Wan",【成份】党参、白术(土炒)、茯苓、陈皮、半夏(制)、炙甘草。,【性状】本品为黑褐色的水蜜丸、棕褐色的小蜜丸或大蜜丸；气微香，味微甜、辛。,【功能主治】补脾健胃，理气化痰。用于脾胃虚弱，食少不化，腹胀胸闷，气虚痰多。
"【药品名称】
通用名称：橙皮酊
汉语拼音：Chengpi Ding",【成份】橙皮(粗粉)、乙醇(、％)、适量,【性状】本品为橙黄色的澄清液体；有橘香气。,【功能主治】　芳香健胃。为芳香性苦补健胃药。
"【药品名称】
通用名称：齿痛消炎灵冲剂
汉语拼音：Chitong Xiaoyanling Chongji",【成份】石膏、荆芥、防风、青皮、牡丹皮、地黄、青黛、细辛、白芷、甘草、,【性状】本品为棕褐色的颗粒；味甜、微苦。,【功能主治】　疏风清热，凉血止痛。用于脾胃积热，风热上攻所致的急性齿根尖周炎，智齿冠周炎，牙周炎，牙髓炎等症。
"【药品名称】
通用名称：齿痛消炎灵颗粒（冲剂）
汉语拼音：chi tong xiao yan ling ke li(chong ji)",【成份】石膏、地黄、青皮、青黛、牡丹皮、细辛、白芷、防风、荆芥、甘草。,【性状】本品为棕褐色的颗粒；味微甜、微苦。,【功能主治】疏风清热，凉血止痛。用于脾胃积热，风热上攻所致的牙痛、牙龈肿痛，包括急性齿根尖周炎，智齿冠周炎，牙周炎有上述症状。
"【药品名称】
通用名称：冲和散
汉语拼音：Chonghe San",【成份】紫荆皮、赤芍、独活、石菖蒲、白芷、,【性状】本品为浅灰色的粉末；味苦。,【功能主治】活血散瘀，消肿止痛。用于痈疽初起、湿痰流注、瘀血流注。
"【药品名称】
通用名称：虫草参芪口服液
汉语拼音：chong cao shen qi kou fu ye",【成份】冬虫夏草、鹿茸、人参、党参、黄芪、麦冬、丹参、当归、五味子、枸杞子、地黄。,,【功能主治】补气养血，益肾助阳。用于气血亏虚、肾阳不足所致的气短懒言，神疲乏力，头晕眼花，腰膝酸软。
"【药品名称】
通用名称：虫草川贝止咳膏
汉语拼音：Chongcao Chuanbei Zhike Gao",【成份】冬虫夏草、蛤蚧(去头、足、鳞片)、川贝母、人参、款冬花(制)、桔梗、苦杏仁（炒）、砂仁、陈皮、紫苑(制)、甘草、木香、百,,【功能主治】润肺止咳，化痰定喘。用于咳嗽痰多，久咳气喘；慢性支气管炎见上述症状者。
"【药品名称】
通用名称：虫草杞芝颗粒
汉语拼音：chong cao qi zhi ke li",【成份】冬虫夏草、枸杞子、莱服子、灵芝。,,【功能主治】益肝肾，安心神。用于肾阴不足所致的失眠，头晕，头痛，乏力。
"【药品名称】
通用名称：虫草双参酒
汉语拼音：chong cao shuang shen jiu",【成份】冬虫夏草、人参、丹参、地黄、黄芪、淫羊藿、黄精、何首乌、枸杞子、山茱萸、鸡血藤等21味。,【性状】本品为棕红色的澄清液体；气香、味苦。,【功能主治】补肾健脾，益气活血。用于脾肾亏虚，气虚血瘀所致的腰膝酸软，倦怠乏力，头晕目眩，气短懒言，食欲不振，肢体疼痛，麻木。
"【药品名称】
通用名称：虫草洋参胶囊
汉语拼音：ChongCaoYangShenJiaoNang",【成份】虫草发酵菌粉，西洋参。,"【性状】本品为胶囊剂,内容物为灰白色至灰黄色的粉末;气微腥、味甘、微苦。",【功能主治】补肺肾，益气阴。用于肺肾两虚、气阴不足所致的咳嗽，气短，腰膝酸痛，神疲乏力，潮热，烦渴等症状的改善。
"【药品名称】
通用名称：除疤膏
汉语拼音：chu ba gao",【成份】桃仁、鸦胆子、冰片、樟脑、石碱,,【功能主治】软坚散结，活血消疤。用于因烧伤、烫伤、疮痈、创伤等所致的增生性疤痕的辅助治疗。
"【药品名称】
通用名称：除湿止痒洗液
汉语拼音：chu shi zhi yang xi ye",【成份】蛇床子、黄连、黄柏、白鲜皮、苦参、虎杖、紫花地丁、地肤子、萹蓄、茵陈、苍术、花椒、冰片。辅料为乙醇、枸橼酸。,【性状】本品为黄棕色的液体；具冰片香气。,【功能主治】清热除湿，祛风止痒。用于急性、亚急性湿疹证属湿热或湿阻型的辅助治疗。
"【药品名称】
通用名称：除障则海甫片
汉语拼音：chu zhang ze hai fu pian",【成份】芦荟、盒果藤、玫瑰花、袔子肉、乳香、西红花、斯卡摩尼雅脂。,【性状】本品为黄棕色的片；有特异香味，味苦。,【功能主治】清除异常黑胆质及胆液质，除障明目。用于白内障。
"【药品名称】
通用名称：雏凤精
汉语拼音： Chufeng Jing",【成份】鹿茸、人参、肉桂、黄芪、肉苁蓉、补骨脂、淫羊藿（羊油炙）、锁阳、狗鞭、鸡胎、九节菖蒲等28味。,【性状】本品为红棕色的液体；味甜。,【功能主治】温补肾阳，补气养血。用于肾阳不足、气血两虚所致的腰酸背痛，四肢乏力，头晕耳鸣，神衰失眠，心慌心跳，记忆减退，食欲不振及妇女月经不调症。
"【药品名称】
通用名称：川贝半夏液
汉语拼音：Chuanbei Banxia Ye",【成份】川贝母、半夏(制)、梨清膏。,【性状】本品为棕色或棕黄色澄清粘稠液体；气香，味甜、微酸。,【功能主治】润肺止咳。用于阴虚燥咳。
"【药品名称】
通用名称：川贝罗汉止咳冲剂
汉语拼音：Chuanbei Luohan Zhike Chongji",【成份】川贝母、枇杷叶、桔梗我、薄荷脑、罗汉果、,【性状】本品为淡黄色至淡棕色的颗粒；气香，味甜、微苦?,【功能主治】清肺，止咳，祛痰。用于伤风咳嗽，支气管炎。
"【药品名称】
通用名称：川贝罗汉止咳颗粒
汉语拼音：chuanbeiluohan zhike keli",【成份】川贝母、35g枇杷叶435g桔梗我130g、薄荷脑0.8g罗汉果、14g,【性状】本品为淡黄色至淡棕色的颗粒；气香，味甜、微苦。,【功能主治】清肺，止咳，祛痰。用于伤风咳嗽。
"【药品名称】
通用名称：川贝末胶囊
汉语拼音：Chuanbeimo Jiaonang",【成份】川贝母。,【性状】本品为胶囊剂，内容物为类白色的粉末；味微苦、甘。,【功能主治】清热润肺，化痰止咳。用于肺热燥咳，干咳少痰，阴虚劳嗽，咯痰不爽。
"【药品名称】
通用名称：川贝枇杷露
汉语拼音：Chuanbei Pipalu",【成份】川贝母、枇杷叶、百部、前胡、桔梗、桑白皮、薄荷脑。,【性状】本品为棕黄色的液体；气芳香，味甜、凉、微苦。,【功能主治】止嗽祛痰。用于风热咳嗽，痰多或燥咳。
"【药品名称】
通用名称：川贝清肺糖浆
汉语拼音：Chuan Bei Qing Fei Tang Jiang",【成份】川贝母、枇杷叶、苦杏仁、麦冬、地黄、桔梗、薄荷、甘草。辅料为蔗糖，防腐剂(苯甲酸钠)。,【性状】本品为棕褐色的粘稠液体；气芳香，味甜。,【功能主治】清肺润燥，止咳化痰。用于干咳，咽干，咽痛。
"【药品名称】
通用名称：川贝散
汉语拼音：Chuanbei San",【成份】川贝母,,【功能主治】清热润肺，化痰止咳。用于肺热燥咳，干咳少痰，阴虚久咳。
"【药品名称】
通用名称：川贝雪梨糖浆
汉语拼音：Chuanbei Xueli Tangjiang",【成份】梨清膏、川贝母、麦冬、百合、款冬花、苯甲酸钠、蔗糖,,【功能主治】养阴润肺。用于肺热咳嗽，阴虚久咳。
"【药品名称】
通用名称：川贝止咳露
汉语拼音：Chuanbei Zhikelu",【成份】川贝母、枇杷叶、百部、前胡、桔梗、桑白皮、薄荷脑。,【性状】本品为棕黄色的液体；气芳香，味甜凉、微苦。,【功能主治】止嗽祛痰。用于肺热咳嗽，痰多色黄。
"【药品名称】
通用名称：川贝止嗽合剂
汉语拼音：Chuanbei Zhisou Heji",【成份】紫菀、紫苏叶、桔梗、川贝母、清半夏、杏仁水、甘草、薄荷水。,【性状】本品为红棕色的液体；气香，味甜、微苦。,【功能主治】解表宣肺，止咳化痰。用于外感咳嗽。
"【药品名称】
通用名称：川芎茶调冲剂
汉语拼音：Chuanxiong Chatiao Chongji",【成份】川芎、白芷、羌活、细辛、防风、薄荷、荆芥、甘草、,【性状】本品为棕色的颗粒；气香，味甜、微苦。,【功能主治】疏风止痛。用于风邪头痛，或有恶寒，发热，鼻塞。
